"preparations","reps"
"r m1",93
"i2 or i3",92
"L M1/?",92
"M4/",92
"partial ceratohyal",92
"partial right maxillary",92
"R DENTARY W P4-M1",92
"RM2",92
"skeleton (dry); skeleton (dry) sample",92
"dissected",91
"in vial - 4",91
"L lower m3",91
"L P/4?",91
"Mold - 1",91
"pygal",91
"R Astragalus",91
"R upper M3",91
"skull (dry); other (unknown)",91
"WHOLE; A+B",91
"whole animal (70% ethanol); whole animal (alcohol)",91
"dentary fragment w/ m2-m3",90
"/DP3",90
"Dry - 25",90
"femur fragment (distal)",90
"INCOMPL SKULL",90
"L SPLENIAL",90
"medial phalanx",90
"mitten-shaped tooth",90
"proximal end of humerus",90
"r m2",90
"skin (dry); skeleton (dry); skeleton (dry) sample",90
"skull (unknown)",90
"tissue (RNAlater); whole animal (formalin/70% ethanol)",90
"Dry - 19",89
"EtOH - 1",89
"limb bones",89
"L lower m1 or m2",89
"miscellaneous bone",89
"partial animal: wings (envelope); partial animal: body (ethanol: -80°C)",89
"partial scute",89
"R M1",89
"/RM2",89
"fibula",88
"m4",88
"right frontal",88
"R MAXILLA",88
"tissue (frozen: vapor phase nitrogen); partial skin (dry); spread wing (dry)",88
"femur (proximal)",87
"I3",87
"Limonite coal balls; Permineralization - 1",87
"PREP - 84",87
"R lower m3",87
"scales (articulated)",87
"SHELL FRAG",87
"skull element",87
"Slides - 1",87
"whole animal (miscellaneous)",87
"whole animal (pinned); genitalia (capsule)",87
"1 M#/",86
"barb",86
"Dry - 21",86
"jaw frag.",86
"JAW, L M/1-M/2",86
"l astragalus",86
"/M1 OR M2",86
"other (cast)",86
"otolith",86
"peripheral frag",86
"PREP - 79",86
"PREP - 83",86
"research ready - 5",86
"r M3",86
"scute fragments",86
"Tarsal element",86
"TEETH/",86
"TOOTH PLATE",86
"CARAPACE FRAGS",85
"COMPLETE FISH",85
"echinoid fragments",85
"echinoids",85
"femur frag",85
"fossil - 1; fossil - 1; fossil - 1; fossil - 1; fossil - 1; fossil - 1; fossil - 1",85
"jugal",85
"ovulate cone scale",85
"postcrania",85
"R lower m1 or m2",85
"Slide - 2",85
"tissue (frozen: vapor phase nitrogen); partial skin (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen)",85
"deciduous lower cheek tooth",84
"Dry - 1; Dry - 3",84
"I1/",84
"Metatarsal",84
"miscellaneous bone fragments",84
"plastron frags",84
"PREP - 71",84
"skull (dry); skin (dry); whole animal (ethanol)",84
"WHOLE FISH, A+B",84
"ASTRAGALI",83
"Bottle; Thin sections no remnants",83
"Compression / Impression - 3",83
"fossil specimen, 20",83
"JAW FRAGS",83
"L DP/4",83
"l M3/",83
"proximal ulna",83
"Synsacrum",83
"whole animal (amber)",83
"Bone frags",82
"branch",82
"Cut; Embedded",82
"humerus fragment (distal)",82
"I FRAG",82
"LM3",82
"P/#",82
"POSTCRANIAL BONES",82
"PREP - 81",82
"proximal humerus",82
"R M1/?",82
"r m/1 or m/2",82
"R MX/",82
"shell internal mold",82
"whole animal (95% ethanol); whole animal (95% ethanol)",82
"body segments",81
"centra",81
"fossil - 0",81
"fragments",81
"FRONTAL",81
"LM 1 or 2",81
"Lm/3",81
"other (ethanol)",81
"partial maxilla",81
"partial quadrate",81
"r m3",81
"/TEETH",81
"cranial element",80
"dp2",80
"fossil specimen, 13",80
"Hemipenis (paraffin/ethanol); whole animal (formalin/70% ethanol)",80
"I/",80
"in matrix � other - 5",80
"L Astragalus",80
"L I1/",80
"limb bone",80
"L JAW, M/1",80
"l m/1 or m/2",80
"neural plate",80
"nuchal frag",80
"P/4 or M/1",80
"r M1",80
"ROSTRUM",80
"SKELETON COMPLETE, A+B",80
"upper molariform tooth",80
"whole animal (70% ethanol); tissue (RNAlater); tissue (RNAlater) sample",80
"100% prepped - 23",79
"carapace",79
"cerv vertebra",79
"dentary frags",79
"distal metapodial",79
"DIST PHALANX",79
"epiplastron frag",79
"femur fragment (proximal)",79
"fragment (dry); whole animal (dry)",79
"hyoplastron frag",79
"M/1or2",79
"METATARSAL 3",79
"/P2",79
"partial costal plate",79
"PREMOLAR",79
"PREP - 88",79
"QUADRATE",79
"/R I",79
"shell frags, misc.",79
"skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen)",79
"SKULL | Cast",79
"Ungual phalanx",79
"100% prepped - 21",78
"bone fragments",78
"Embedded; Thin sections with remnants",78
"fossil - 9",78
"jaw frags",78
"MAXILLA W TEETH",78
"METAPODIALS",78
"PROX RADIUS",78
"PROX TIBIA",78
"R PERIPHERAL 7",78
"SCALE",78
"Skull Frag.",78
"TEETH FRAGS",78
"unidentified element",78
"CLAVICLE",77
"fossilized shell",77
"L M2/-M3/",77
"M4",77
"neural, juvenile",77
"paired frontals",77
"pharyngeal teeth (dry)",77
"R M2/-M3/",77
"R P/4?",77
"SKULL W P4-M3",77
"squamosal",77
"whole animal (isopropyl)",77
"75% prepped - 2",76
"Compression/Impression - 4",76
"cranial frag",76
"default - 25",76
"dentary, broken",76
"DENTARY W M1-M3",76
"hypoplastron",76
"JAW PARTIAL",76
"L SAGITTA",76
"Mx fragment",76
"PREP - 86",76
"right M1/",76
"RM 1 or 2",76
"RM3",76
"SCAPULA FRAG",76
"supraoccipital crest",76
"thoracic centrum",76
"Vertebrae",76
"100% prepped - 22",75
"LM2",75
"lower premolar",75
"occipital condyle",75
"partial animal: tissue (RNAlater: vapor phase nitrogen)",75
"partial pectoral spine",75
"partial spine",75
"Rm/3",75
"tooth bearing element",75
"ventral postcleithrum",75
"whole animal (70% ethanol); whole animal (cleared and stained)",75
"100% prepped - 20",74
"50 % prepped - 1",74
"Chondrichthyes",74
"default - 23",74
"Dry - 211",74
"Furcula frag",74
"phalanx 2, digit III",74
"PREP - 78",74
"r M2",74
"R Mx",74
"skull (dry); skeleton (unknown)",74
"upper premolar",74
"3 phalanx",73
"ASTRAGALUS FRAG",73
"Compression / impression / permineralization - 1",73
"DP4",73
"dry - 5",73
"fossil specimen, 14",73
"frags",73
"LM/2 worn",73
"pisiform",73
"r M3/",73
"SQUAMOSAL FRAG",73
"unprepared",73
"default - 30",72
"Hemipenis (paraffin/ethanol); whole animal (ethanol)",72
"L I/",72
"l m/1",72
"METACARPAL 3",72
"PREP - 82",72
"skeleton (subfossil)",72
"A+B; WHOLE",71
"Dry - 3; Dry - 1",71
"i3",71
"marginal plate",71
"osteoderm frag.",71
"R INOMINATE acetabulum",71
"R JAW, M/1",71
"Thoracic vertebra",71
"tibia (distal)",71
"whole animal (70% ethanol); tissue (95% ethanol); tissue (95% ethanol)",71
"whole skeleton (dry); skin sample (dry)",71
"axis vertebra",70
"Bone fragment.",70
"caudal centrum",70
"CRANIUM",70
"Dry - 22",70
"dry - 6",70
"flower",70
"INCOMPL SHELL",70
"l p/4",70
"MAXILLA FRAGS",70
"METATARSAL 5",70
"partial rib",70
"PREP - 77",70
"PREP - 93",70
"Rm3",70
"R M3",70
"brain (70% ethanol); whole animal (alcohol)",69
"ix",69
"left m2",69
"L lower M or P",69
"misc teeth",69
"partial vertebrae",69
"R JAW WITH M/1-M/2",69
"RM/2 worn",69
"RP4",69
"Slide - 0",69
"Specimen Collection - 2",69
"Thin sections with remnants; Peel with remnants",69
"tissue (alcohol: vapor phase nitrogen); whole animal (alcohol)",69
"Caudal vertebra",68
"Coracoid frag",68
"left dentary",68
"L M1/-M3/",68
"l M3",68
"PREP - 89",68
"r lower molar",68
"shell frags, assoc.",68
"frond",67
"hypural",67
"/L I",67
"L m2",67
"L M FRAG/",67
"meta-podial",67
"miscellaneous",67
"P4, broken",67
"SCAPHOLUNAR",67
"sediment",67
"skull-less whole animal (ethanol); skull and jaw (dry)",67
"worm tubes",67
"AXIS",66
"Dry - 1; Dry - 1; Dry - 1",66
"femur fragment",66
"fossil - 10",66
"L ASTRAGALUS",66
"L P4/?",66
"L upper M1 OR M2",66
"METAPODIAL FRAG",66
"OSTEODERM FRAGS",66
"partial plastron",66
"Peels - 1",66
"PELVIS",66
"phalanx 1, digit III",66
"PREP - 101",66
"PREP - 90",66
"right m/3",66
"Scaphopoda",66
"SKELETON NEARLY COMPLETE",66
"tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); partial skin (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen)",66
"CHEEK TEETH/",65
"DP/4",65
"Dry - 23",65
"Ectocuneiform",65
"in vial - 5",65
"L M2/?",65
"LP4",65
"M1/ or M2/",65
"PARAMEDIAL OSTEODERM FRAGS",65
"Rib fragment",65
"R M FRAG/",65
"r Mx/",65
"tibia (proximal)",65
"TIBIOTARSUS",65
"Crinoidea",64
"Dry - 24",64
"humerus fragment (proximal)",64
"ISOLATED TEETH",64
"L scapula",64
"median section w/remnants; remnant",64
"partial animal: wings (envelope); partial animal (pinned)",64
"Peels no remnants; Thin sections no remnants",64
"R /m3",64
"/R M FRAG",64
"r upper molar",64
"skeleton (part and counterpart)",64
"Vertebra fragment",64
"CHEEK TOOTH FRAG",63
"dentary w r m1-m3",63
"distal left humerus",63
"fossil specimen, 0",63
"left m/3",63
"l M1/ or M2/",63
"L M4/",63
"L SCAPULA",63
"podial, metapodial, or phalanx",63
"PREP - 91",63
"PREP - 92",63
"PREP - 96",63
"PREP - 99",63
"right M2/",63
"R M1/-M3/",63
"R m3",63
"R P4/-M1/",63
"R upper M1 OR M2",63
"1st vertebra",62
"cone",62
"cone scale",62
"Crab claw",62
"Dry - 100",62
"I2",62
"JAW, L M/1-M/3",62
"left m/1 or m/2",62
"left M2/",62
"L maxilla fragment",62
"maxilla frag",62
"MID CAUDAL VERTEBRA",62
"neural spine",62
"Permineralization - 14",62
"Pisiform",62
"PREP - 300",62
"PREP - 85",62
"research ready - 7",62
"rib fragments",62
"R M2",62
"shell frags, misc",62
"tarsometatarsus",62
"wing",62
"100% prepped - 25",61
"astragalus, left",61
"dentary fragment w/ m1-m3",61
"DENTARY W M1-M2",61
"Embedded; Peels with remnants",61
"fin spine",61
"lateral tooth",61
"L JAW, EDENTULOUS",61
"Lm3",61
"L OSSACRUM, NO ACETABULUM",61
"l upper molar",61
"Metacarpal",61
"METACARPAL 4",61
"Metapodial (Splint bone)",61
"METATARSAL 2",61
"PREP - 105",61
"PREP - 94",61
"carapace (dry)",60
"Cast - 2",60
"dP4",60
"intercentrum",60
"L P/3-P/4",60
"M/1-M/2",60
"NEURAL",60
"POSTERIOR POSTSACRAL VERTEBRA",60
"right dentary",60
"R M2/?",60
"r P4",60
"shell frags, unassoc",60
"Type and Figured Slides - 1",60
"upper molar frag",60
"whole animal (miscellaneous); tissue (ethanol); whole animal (ethanol)",60
"Astragalus",59
"CARPOMETACARPUS",59
"clavicle fragment",59
"dactyli",59
"/DP",59
"Dry - 2; Dry - 2",59
"fish bone",59
"JAW, R M/1-M/3",59
"L JAW, M/1, M/2",59
"L Mx",59
"/L P3",59
"METACARPAL 5",59
"Microfossil slide - 8",59
"partial coracoid",59
"Peels with remnant",59
"PETROSAL",59
"Phalanx (Pes)",59
"Photographed - 1",59
"PTERYGOID",59
"R DP3/",59
"R ILIUM",59
"R lower M or P",59
"/R P3",59
"100% prepped - 24",58
"1 M/#",58
"2 TEETH",58
"Bottle; Boxes and vials",58
"BOTTLE; MICROSLIDE; SAMPLE BAG",58
"C/",58
"CARAPACE FRAG",58
"clavicle",58
"costals",58
"latex peel",58
"left M1/",58
"L ILIUM",58
"L ULNA, PROXIMAL, ADULT",58
"METAPODIAL 2-3",58
"Microfossil slide - 7",58
"Microslide; Sem coverslip",58
"m/x frag",58
"otoliths",58
"partial cleithrum",58
"PARTIAL JAW",58
"preoperculum",58
"PROX METAPODIAL",58
"R humerus",58
"right M3/",58
"Rm 1 or 2",58
"r M1/ or M2/",58
"R maxilla",58
"R maxilla fragment",58
"R P/3-P/4",58
"R PERIPHERAL 4",58
"scales (unassociated)",58
"skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (RNAlater: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (RNAlater: vapor phase nitrogen); tissue (RNAlater: vapor phase nitrogen); spread wing (dry); tissue (frozen: vapor phase nitrogen)",58
"skull (dry); skeleton (dry); hide (dry)",58
"Teaching Slides - 1",58
"whole animal (95% ethanol); whole animal (RNAlater)",58
"whole animal (formalin); tissue (frozen: -80°C); tissue (frozen: -80°C); tissue (frozen: -80°C)",58
"whole animal (RNAlater); whole animal (95% ethanol)",58
"100% prepped - 26",57
"carpal",57
"default - 1; fossil - 1; fossil - 1",57
"default - 21",57
"dermal scutes",57
"egg (ethanol)",57
"GASTRIC RESIDUE",57
"JAW, L M/3",57
"leafy  branch",57
"Navicular",57
"P11",57
"/P4 FRAG",57
"R lower p4",57
"whole animal (ethanol); whole animal (ethanol); whole animal (ethanol)",57
"100% prepped - 28",56
"cast plus remains",56
"default - 22",56
"dentary fragment w/ m3",56
"DENTARY W P4-M3",56
"left M3/",56
"limb bone frag.",56
"LM1 OR LM2",56
"l m/2",56
"Partial body",56
"Permineralization - 7",56
"phalanx 1-2",56
"PREP - 98",56
"research ready - 6",56
"R I/",56
"R JAW, EDENTULOUS",56
"SKELETAL FRAGS",56
"skeletal parts in burrow",56
"unknown (formalin)",56
"whole animal (RNAlater: -20°C)",56
"Acetate peel - 1",55
"ILIUM",55
"jaw fragment w teeth",55
"L DENTARY W M2-M3",55
"/L M FRAG",55
"metapodial (splint bone)",55
"Middle phalanx",55
"miscellaneous fragments",55
"other (fossil)",55
"P4 fragment",55
"P/4 OR M/1",55
"pharyngeal teeth",55
"PREP - 108",55
"R OSSACRUM, NO ACETABULUM",55
"SACRAL VERTEBRA",55
"Scaphoid",55
"skeleton (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen)",55
"tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); partial skin (dry); tissue (frozen: vapor phase nitrogen); spread wing (dry); tissue (frozen: vapor phase nitrogen)",55
"vertebra fragments",55
"Compression / impression/ permineralization - 1",54
"costal fragment",54
"dorsal centrum",54
"fragment (70% ethanol); whole animal (70% ethanol)",54
"HORN CORE FRAG",54
"L DENTARY W P3-M3",54
"L JAW, ALL T/#",54
"L JAW WITH M/1-M/2",54
"l lower molar",54
"L M2/ COMPLETE",54
"Microslide; Thin sections with remnants",54
"misc limb bones",54
"p4 fragment",54
"PARTIAL JAW RAMUS",54
"Peels",54
"premolar fragment",54
"PROX SCAPULA",54
"RIBS",54
"right epiplastron",54
"R PERIPHERAL 3",54
"scapulocoracoid",54
"TUSK",54
"whole animal (formalin); tissue (unknown); tissue (95% ethanol) sample",54
"worm tube",54
"zygapophysis",54
"cervical centrum",53
"DENTARY W M2-M3",53
"DP/",53
"fragment",53
"L CALCANEUM",53
"Leg",53
"limb fragment",53
"LP3",53
"Lp4",53
"Lp/4",53
"L PERIPHERAL 7",53
"Lumbar vertebra",53
"mandible fragment",53
"maxilla w L M1-M2",53
"Microfossil slide - 12",53
"misc",53
"P2?",53
"PARTIAL SKULL WITH ALL T#/",53
"pinna",53
"PREP - 97",53
"R DENTARY W M2-M3",53
"RIB FRAG",53
"R SAGITTA",53
"R SCAPULA, GLENOID PRESENT",53
"scute fragment",53
"Thin section with remnant; Peel with remnant",53
"whole animal (SEM stub)",53
"WHOLE FISH, NC",53
"100% prepped - 29",52
"1 P/#",52
"75% prepped - 3",52
"ant. P/",52
"Beak",52
"bones",52
"COSTAL FRAG",52
"DENTARY W M",52
"DIST METAPODIAL 3",52
"Dry shell",52
"in matrix � other - 6",52
"left astragalus",52
"L humerus",52
"L M/2 OR M/3",52
"lower incisor",52
"L PERIPHERAL 8",52
"L tibia",52
"M1 fragment",52
"M/2-M/3",52
"partial animal: tissue (RNAlater)",52
"PREP - 104",52
"prox phalanx",52
"R ASTRAGALUS",52
"R JAW, ALL T/#",52
"R SCAPULA",52
"cast; mold",51
"eggshell",51
"fossil specimen, 16",51
"hyoplastron",51
"L /M1",51
"Lm 1 or 2",51
"L /m3",51
"l Mx/",51
"Manus Phalanx (Hoof)",51
"METACARPAL 2",51
"METAPODIAL 2+3",51
"metapodial (distal)",51
"M OR P",51
"Mx, broken",51
"p4, broken",51
"P5/",51
"partial humerus",51
"periotic",51
"PREP - 103",51
"PREP - 87",51
"R I/1",51
"right coracoid",51
"R JAW, M/1-M/3",51
"Rp/4",51
"shell fragment and internal mold",51
"skull (dry); skull (dry) sample",51
"skull plate",51
"whole animal (ethanol); other (ethanol)",51
"Wing",51
"anterior tooth",50
"default - 24",50
"DENTARY,TEETH",50
"dermal scute (partial)",50
"FUSED ATLAS-AXIS",50
"innominate",50
"left Mx/",50
"L HUMERUS, DISTAL, ADULT",50
"l P4",50
"L PERIPHERAL 6",50
"partial animal (pinned); partial animal: legs (ethanol: -80°C)",50
"PREP - 102",50
"PREP - 112",50
"PREP - 95",50
"right m/2",50
"R M4/",50
"R p4",50
"R P4/?",50
"ulna (proximal)",50
"vomer",50
"BASIOCCIPITAL",49
"BOXES AND VIALS",49
"cheek tooth fragments",49
"COSTAL FRAGS",49
"cranial frags",49
"CUBONAVICULAR",49
"DENTARY W P4",49
"dentory frags",49
"Figured and Duplicate Peels - 1",49
"fossil specimen, 18",49
"head spine",49
"left epiplastron",49
"L /p4",49
"M1 OR M2/",49
"opercula",49
"PREP - 106",49
"R DENTARY W P3-M3",49
"R M1/ or M2/",49
"SAMPLE BAG",49
"Tooth fragment",49
"3-needled fascicle",48
"astragalus frag",48
"Boxes and vials; Thin sections with remnants",48
"CARPAL",48
"default - 27",48
"dentaries",48
"Embedded; Peels with remnants; Boxes and vials",48
"FEMUR FRAG",48
"fossil specimen, 17",48
"fossil specimen, 30",48
"humerus (distal end)",48
"ischium",48
"lateral osteoderm, juv",48
"l m/x",48
"molar frag",48
"partial carapace",48
"Peels with remnants; Thin sections with remnants; Unsectioned",48
"Pelvic bone frag",48
"R CALCANEUM",48
"R M2/ COMPLETE",48
"R /p4",48
"R ULNA, PROXIMAL, ADULT",48
"subopercle",48
"tissue (alcohol); whole animal (alcohol)",48
"Trapezoid",48
"ULNA FRAG",48
"xiphiplastron",48
"x-ray - 1",48
"default - 26",47
"default - 28",47
"DP/3",47
"Epiphysis",47
"feather",47
"leaves",47
"Lm/1",47
"/L M1-M2",47
"L M/1-M/2-M/3",47
"metacarpal III",47
"M/ FRAG",47
"p4 or m1",47
"partial animal (pointed)",47
"partial dorsal spine",47
"partial l dentary w m2-3",47
"peripheral frags",47
"postcranial skeleton",47
"PREP - 113",47
"proximal costal",47
"Px",47
"R MAXILLA FRAG",47
"r P4/",47
"R upper cheektooth",47
"shell & external mold",47
"whole animal (formalin); tissue (DMSO); tissue (95% ethanol) sample",47
"100% prepped - 32",46
"75% prepped",46
"body (dry)",46
"Compression/Impression - 5",46
"denticles",46
"L I/1",46
"LIMB FRAGS",46
"L P4/-M1/",46
"maxilla w LM1-M3",46
"P8",46
"parietal",46
"PELVIS FRAG",46
"PERIPHERAL",46
"pinnule",46
"PLATE FRAG",46
"PREP - 107",46
"right m/1 or m/2",46
"skin (dry); whole animal (ethanol)",46
"Carpal element",45
"cartilage",45
"Cervical vertebra",45
"DENTARY FRAG W TEETH",45
"dentary w r p4-m3",45
"Dry - 4; Dry - 1",45
"Hoof",45
"HORN CORE FRAGS",45
"ilium fragment",45
"inflorescence",45
"in vial - 6",45
"JAW, R M/3",45
"JAW, R P/4-M/1",45
"Leafy twig",45
"left frontal",45
"left humerus",45
"L M1-M2/",45
"maxilla, broken",45
"metatarsal IV",45
"Microfossil slide - 10",45
"Microfossil slide - 9",45
"Middle Phalanx",45
"MOLAR FRAG",45
"pollen",45
"R HUMERUS, DISTAL, ADULT",45
"ribs",45
"R M/,L M/",45
"R P/3-M/1",45
"R PERIPHERAL 8",45
"SACRUM",45
"SPINES",45
"TRAPEZOID",45
"tusk",45
"ulna fragment",45
"whole animal (alcohol); dissected part (70% ethanol)",45
"100% prepped - 27",44
"dentary fragment w/ p2-m3",44
"Dentary w L m1",44
"DIST TIBIOTARSUS",44
"dorsal spine fragment",44
"Dry - 40",44
"dry - 8",44
"echnoid",44
"eggshell fragments",44
"fossil - 11",44
"humerus (head)",44
"JAW, L P/4-M/2",44
"JAW, R P/4-M/2",44
"L DP3/",44
"L INOMINATE frament",44
"L PERIPHERAL 2",44
"osteoscute",44
"palate",44
"PREP - 1000",44
"PREP - 110",44
"PREP - 117",44
"PREP - 122",44
"R JAW, M/1-M/2-M/3",44
"R M1 OR M2/",44
"R M/2 OR M/3",44
"skull (dry); partial skeleton (dry)",44
"TIBIA FRAG",44
"tibiotarsus",44
"tracks",44
"TYMPANIC BULLA",44
"vertebrae (unassociated)",44
"whole animal (70% ethanol); unknown (dry)",44
"whole animal (formalin/70% ethanol); tissue (RNAlater); tissue (RNAlater) sample",44
"calcaneum fragment",43
"cranial fragment",43
"dentary fragment w/ p4-m3",43
"Dry - 1; Dry - 4",43
"Dry - 26",43
"fish bone, scale",43
"Fossil; Cast",43
"hyperostosed element",43
"I3?",43
"in matrix � other - 8",43
"internal and external mold",43
"L DENTARY W M1",43
"metapodial fragment",43
"OTOLITH",43
"Permineralization - 8",43
"postorbital",43
"POST SKULL",43
"R DENTARY W M1",43
"R M1-M2/",43
"SKULL W P4-M2",43
"suprapygal",43
"T#/",43
"tissue (unknown); whole animal (ethanol)",43
"50 % prepped - 2",42
"Body fragments",42
"carapace fragments",42
"damaged canine",42
"default - 1; fossil - 1",42
"distal ulna",42
"fossil specimen, 25",42
"lateral osteoderm",42
"L DENTARY: M/2-M/3",42
"L epiplastron",42
"L M1/ or M2/",42
"L p4",42
"Microfossil slide - 0",42
"otolith (dry); partial skeleton (dry)",42
"partial frontal",42
"pharyngeal tooth",42
"Photograph - 1; Dry - 2",42
"PREP - 200",42
"R peripheral 2",42
"sacral vertebra",42
"skin (dry); skin (dry) sample; skin (dry) sample",42
"SKULL W P4-M1",42
"Slide",42
"terminal phalanges",42
"vertebra, broken",42
"vial with sediment and shells",42
